model_name,model_type,checkpoint,device,mode,episode_id,start_index,step,inference_time_s,inference_time_ms,control_interval_s,time_fraction_of_control_interval
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,52,0.0011837552301585674,1.1837552301585674,900.0,1.315283589065075e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,53,0.000981516670435667,0.981516670435667,900.0,1.0905740782618522e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,54,0.0010116319172084332,1.0116319172084332,900.0,1.1240354635649258e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,55,0.0011247028596699238,1.1247028596699238,900.0,1.249669844077693e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,56,0.0009137019515037537,0.9137019515037537,900.0,1.0152243905597264e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,57,0.0009437012486159801,0.9437012486159801,900.0,1.0485569429066447e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,58,0.0009356779046356678,0.9356779046356678,900.0,1.039642116261853e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,59,0.001109495759010315,1.109495759010315,900.0,1.2327730655670167e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,60,0.0011546607129275799,1.1546607129275799,900.0,1.282956347697311e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,61,0.0010207830928266048,1.0207830928266048,900.0,1.1342034364740054e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,62,0.0011605829931795597,1.1605829931795597,900.0,1.2895366590883997e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,63,0.001063177827745676,1.063177827745676,900.0,1.1813086974951957e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,64,0.0011827293783426285,1.1827293783426285,900.0,1.3141437537140317e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,65,0.0008739037439227104,0.8739037439227104,900.0,9.710041599141227e-07
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,66,0.001123917754739523,1.123917754739523,900.0,1.2487975052661367e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,67,0.0008709118701517582,0.8709118701517582,900.0,9.676798557241758e-07
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,68,0.0010993941687047482,1.0993941687047482,900.0,1.221549076338609e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,69,0.0010617449879646301,1.0617449879646301,900.0,1.1797166532940336e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,70,0.0011551231145858765,1.1551231145858765,900.0,1.2834701273176406e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,71,0.0011227168142795563,1.1227168142795563,900.0,1.2474631269772848e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,72,0.0011327732354402542,1.1327732354402542,900.0,1.258636928266949e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,73,0.0013812016695737839,1.3812016695737839,900.0,1.5346685217486487e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,74,0.0018711560405790806,1.8711560405790806,900.0,2.0790622673100896e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,75,0.0011672149412333965,1.1672149412333965,900.0,1.2969054902593295e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,76,0.0010426226072013378,1.0426226072013378,900.0,1.158469563557042e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,77,0.0010916017927229404,1.0916017927229404,900.0,1.2128908808032672e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,78,0.0011243480257689953,1.1243480257689953,900.0,1.2492755841877726e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,79,0.0011009201407432556,1.1009201407432556,900.0,1.2232446008258395e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,80,0.0009178188629448414,0.9178188629448414,900.0,1.0197987366053794e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,81,0.0010730111971497536,1.0730111971497536,900.0,1.1922346634997262e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,82,0.0010788212530314922,1.0788212530314922,900.0,1.1986902811461024e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,83,0.0011838399805128574,1.1838399805128574,900.0,1.3153777561253972e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,84,0.0012154034338891506,1.2154034338891506,900.0,1.350448259876834e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,85,0.0011379169300198555,1.1379169300198555,900.0,1.2643521444665061e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,86,0.0012128031812608242,1.2128031812608242,900.0,1.3475590902898048e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,87,0.0010985308326780796,1.0985308326780796,900.0,1.2205898140867551e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,88,0.0012394431978464127,1.2394431978464127,900.0,1.3771591087182363e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,89,0.001098921988159418,1.098921988159418,900.0,1.2210244312882424e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,90,0.0009839809499680996,0.9839809499680996,900.0,1.0933121666312217e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,91,0.0011221407912671566,1.1221407912671566,900.0,1.2468231014079517e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,92,0.0009385268203914165,0.9385268203914165,900.0,1.042807578212685e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,93,0.001156770158559084,1.156770158559084,900.0,1.28530017617676e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,94,0.0010730917565524578,1.0730917565524578,900.0,1.1923241739471752e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,95,0.0011053672060370445,1.1053672060370445,900.0,1.228185784485605e-06
