metric,arch,baseline,load_factor,n_pairs,wilcoxon_statistic,p_raw,p_holm,sig,baseline_mean,arch_mean,mean_difference_arch_minus_mlp,median_difference_arch_minus_mlp,percent_difference_arch_vs_mlp,percent_improvement_vs_mlp,wins,ties,losses,better_direction
feasibility,tagconv,mlp,1.3,31,17.0,0.0006179102511197069,0.0012358205022394138,True,0.668570788530466,0.7047491039426523,0.03617831541218639,0.031250000000000056,,,19,10,2,higher
feasibility,gat,mlp,1.4,31,28.0,0.00017942428831502037,0.00017942428831502037,True,0.5674283154121865,0.6080869175627239,0.04065860215053761,0.01736111111111105,,,22,5,4,higher
feasibility,gcn,mlp,1.4,31,8.0,3.2175754369026e-05,9.652726310707801e-05,True,0.5674283154121865,0.6085349462365592,0.041106630824372756,0.02777777777777779,,,24,6,1,higher
feasibility,tagconv,mlp,1.4,31,13.0,3.6698726028699325e-05,9.652726310707801e-05,True,0.5674283154121865,0.6160394265232975,0.048611111111111105,0.04166666666666663,,,23,5,3,higher
infeasible_requests,gat,mlp,1.0,31,12.0,0.0013589530344859265,0.004076859103457779,True,3.731182795698925,4.473118279569892,0.7419354838709676,0.0,,,3,13,15,lower
infeasible_requests,gcn,mlp,1.0,31,19.0,0.0022205853125169678,0.0044411706250339356,True,3.731182795698925,2.612903225806451,-1.1182795698924728,-0.6666666666666661,,,16,12,3,lower
infeasible_requests,tagconv,mlp,1.0,31,82.0,0.2433778187514265,0.2433778187514265,False,3.731182795698925,3.2795698924731185,-0.45161290322580633,0.0,,,14,10,7,lower
infeasible_requests,gat,mlp,1.1,31,36.5,0.010535679701083002,0.021071359402166003,True,10.612903225806454,11.419354838709676,0.8064516129032256,0.33333333333333304,,,3,11,17,lower
infeasible_requests,gcn,mlp,1.1,31,88.0,0.3389730009141957,0.3389730009141957,False,10.612903225806454,11.03225806451613,0.4193548387096774,0.0,,,9,10,12,lower
infeasible_requests,tagconv,mlp,1.1,31,23.0,0.0021746143192448108,0.006523842957734432,True,10.612903225806454,9.623655913978496,-0.9892473118279568,-0.6666666666666679,,,17,11,3,lower
infeasible_requests,gat,mlp,1.2,31,86.0,0.47801043110414165,0.9560208622082833,False,20.935483870967747,21.451612903225804,0.5161290322580644,0.0,,,10,11,10,lower
infeasible_requests,gcn,mlp,1.2,31,116.0,0.5032156836382455,0.9560208622082833,False,20.935483870967747,20.26881720430107,-0.6666666666666669,0.0,,,13,8,10,lower
infeasible_requests,tagconv,mlp,1.2,31,55.0,0.006633557939705239,0.019900673819115717,True,20.935483870967747,18.7741935483871,-2.161290322580644,-1.3333333333333286,,,17,7,7,lower
infeasible_requests,gat,mlp,1.3,31,151.5,0.5418982214867842,0.5418982214867842,False,32.59139784946236,31.698924731182796,-0.8924731182795695,0.0,,,15,5,11,lower
infeasible_requests,gcn,mlp,1.3,31,73.0,0.005311591237601235,0.01062318247520247,True,32.59139784946236,30.666666666666664,-1.9247311827956979,-1.3333333333333333,,,20,4,7,lower
infeasible_requests,tagconv,mlp,1.3,31,39.5,0.0009329613849121428,0.0027988841547364283,True,32.59139784946236,29.64516129032258,-2.946236559139785,-1.3333333333333286,,,19,6,6,lower
infeasible_requests,gat,mlp,1.4,31,113.0,0.02379946094904313,0.02379946094904313,True,42.13978494623655,39.41935483870969,-2.720430107526883,-1.3333333333333333,,,21,2,8,lower
infeasible_requests,gcn,mlp,1.4,31,84.5,0.004020378954219572,0.008040757908439144,True,42.13978494623655,39.473118279569896,-2.6666666666666674,-1.3333333333333428,,,22,2,7,lower
infeasible_requests,tagconv,mlp,1.4,31,50.0,0.000291029096913867,0.000873087290741601,True,42.13978494623655,37.97849462365591,-4.161290322580646,-2.3333333333333357,,,24,2,5,lower
