topology_case,controller,episode_id,step,date_time,start_index,scenario_time_index,reward_mean,reward_sum,grid_import_kw,grid_import_mwh,energy_cost,curtailment_kw,curtailment_mwh,voltage_deviation,grid_stress,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,feasible,converged,infeasible_action,throughput_mwh,solver_status,objective_value,solve_time_sec,smpc_network_feasible,smpc_network_corrected,smpc_correction_attempts,smpc_check_topology_case,smpc_check_worst_min_voltage_pu,smpc_check_worst_max_voltage_pu,smpc_check_worst_line_current_pu,smpc_check_max_voltage_violation,smpc_check_max_line_current_violation,requested_action_agent_0,accepted_action_agent_0,dess_power_kw_agent_0,soc_agent_0,beta_ch_kw_agent_0,beta_dis_kw_agent_0,requested_action_agent_1,accepted_action_agent_1,dess_power_kw_agent_1,soc_agent_1,beta_ch_kw_agent_1,beta_dis_kw_agent_1,requested_action_agent_2,accepted_action_agent_2,dess_power_kw_agent_2,soc_agent_2,beta_ch_kw_agent_2,beta_dis_kw_agent_2,requested_action_agent_3,accepted_action_agent_3,dess_power_kw_agent_3,soc_agent_3,beta_ch_kw_agent_3,beta_dis_kw_agent_3,requested_action_agent_4,accepted_action_agent_4,dess_power_kw_agent_4,soc_agent_4,beta_ch_kw_agent_4,beta_dis_kw_agent_4,requested_horizon,available_horizon,n_scenarios,controller_decision_time_s,controller_decision_time_ms,solver_time_s,solver_time_ms,non_solver_overhead_time_ms,control_interval_s,time_fraction_of_control_interval
TP1,smpc,0,21,2018-12-01 05:15:00+00:00,32064,21,-9.5304536819458,-47.652268409729004,805.8645918285947,0.20146614795714868,6.894171583093628,0.0,0.0,0.4369467496871948,0.0,0.9738497734069824,1.0,0.9513694047927856,0.0,0.0,True,True,False,0.0,optimal,1682.5735441576167,0.13190746307373047,True,False,0,TP1,0.9753531813621521,1.0,0.7903985977172852,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,10,0.171597086,171.59708600000002,0.13190746307373047,131.90746307373047,39.68962292626954,900.0,0.0001906634288888889
TP1,smpc,0,22,2018-12-01 05:30:00+00:00,32064,22,-9.629430770874023,-48.14715385437012,814.2224442108272,0.2035556110527068,6.965673010223627,0.0,0.0,0.4415815472602844,0.0,0.9735575318336487,1.0,0.9612091779708862,0.0,0.0,True,True,False,0.0,optimal,1935.759973323648,0.1373584270477295,True,False,0,TP1,0.9748228788375854,1.0,0.8115354180335999,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,10,0.179708052,179.708052,0.1373584270477295,137.3584270477295,42.34962495227052,900.0,0.00019967561333333333
TP1,smpc,0,23,2018-12-01 05:45:00+00:00,32064,23,-9.633909225463867,-48.169546127319336,814.4995521347482,0.20362488803368706,6.968043668512771,0.0,0.0,0.4426559805870056,0.0,0.9734213948249817,1.0,0.9616500735282898,0.0,0.0,True,True,False,0.0,optimal,2199.4388460721975,0.14077067375183105,True,False,0,TP1,0.9744222164154053,1.0,0.8091350793838501,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,10,0.187806358,187.80635800000002,0.14077067375183105,140.77067375183105,47.03568424816895,900.0,0.00020867373111111112
TP1,smpc,0,24,2018-12-01 06:00:00+00:00,32064,24,-9.93078899383545,-49.653944969177246,825.4922608550714,0.20637306521376786,7.187973861395534,0.0,0.0,0.4510948657989502,0.0,0.9727765321731567,1.0,0.9744959473609924,0.0,0.0,True,True,False,0.0,optimal,2469.0582077633203,0.1826918125152588,True,False,0,TP1,0.974032998085022,1.0,0.8149757385253906,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,10,0.226392247,226.392247,0.1826918125152588,182.6918125152588,43.7004344847412,900.0,0.0002515469411111111
TP1,smpc,0,25,2018-12-01 06:15:00+00:00,32064,25,-9.848928451538086,-49.24464225769043,818.9096353028162,0.20472740882570406,7.130655649399272,0.0,0.0,0.4454430937767029,0.0,0.9731849431991577,1.0,0.9667372107505798,0.0,0.0,True,True,False,0.0,optimal,2741.831787875827,0.12912726402282715,True,False,0,TP1,0.9742540121078491,1.0,0.804895281791687,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,10,0.173866061,173.866061,0.12912726402282715,129.12726402282715,44.73879697717284,900.0,0.0001931845122222222
TP1,smpc,0,26,2018-12-01 06:30:00+00:00,32064,26,-9.783049583435059,-48.91524791717529,813.5525506675094,0.20338813766687736,7.084008834937338,0.0,0.0,0.44141387939453125,0.0,0.9734800457954407,1.0,0.9604254364967346,0.0,0.0,True,True,False,0.0,optimal,3014.3443438458426,0.14167141914367676,True,False,0,TP1,0.9742454290390015,1.0,0.8147222995758057,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,10,0.186691205,186.691205,0.14167141914367676,141.67141914367676,45.01978585632324,900.0,0.00020743467222222222
TP1,smpc,0,27,2018-12-01 06:45:00+00:00,32064,27,-9.934418678283691,-49.67209339141846,826.0688117038626,0.20651720292596565,7.192994177911383,0.0,0.0,0.44886666536331177,0.0,0.9729617834091187,1.0,0.9751646518707275,0.0,0.0,True,True,False,0.0,optimal,3284.5574811952256,0.13790345191955566,True,False,0,TP1,0.9740902781486511,1.0,0.8233850598335266,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,24,24,10,0.180029548,180.029548,0.13790345191955566,137.90345191955566,42.12609608044435,900.0,0.0002000328311111111
TP1,smpc,0,28,2018-12-01 07:00:00+00:00,32064,28,-10.573164939880371,-52.865824699401855,830.1768757385162,0.20754421893462904,7.683286984959968,0.0,0.0,0.45100265741348267,0.0,0.9726983308792114,1.0,0.9833424687385559,0.0,0.0,True,True,False,0.0025000001303851606,optimal,3546.669407935528,0.14490747451782227,True,False,0,TP1,0.9736630916595459,1.0,0.8240806460380554,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.0,0.0,0.0,0.18421052631578938,0.0,0.0,0.13333334028720856,0.13333334028720856,10.000000521540642,0.17894736814655746,0.0,10.0,24,24,10,0.186029877,186.029877,0.14490747451782227,144.90747451782227,41.12240248217775,900.0,0.00020669986333333334
TP1,smpc,0,29,2018-12-01 07:15:00+00:00,32064,29,-8.851134300231934,-44.25567150115967,695.126961717051,0.17378174042926275,6.433400030691308,0.0,0.0,0.38964951038360596,0.0,0.9756097197532654,1.0,0.8714773058891296,0.0,0.0,True,True,False,0.03576438557356596,optimal,3803.450089599286,0.13275980949401855,True,False,0,TP1,0.9775273203849792,1.0,0.6872127056121826,0.0,0.0,0.33902785181999207,0.33902785181999207,25.427088886499405,0.1708278479544739,0.0,25.42708785831904,0.13333334028720856,0.13333334028720856,10.000000521540642,0.17894736814655746,0.0,10.0,0.13333334028720856,0.13333334028720856,10.000000521540642,0.17894736814655746,0.0,10.0,0.301739364862442,0.301739364862442,22.63045236468315,0.17229976191332455,0.0,22.630452275276042,1.0,1.0,75.0,0.13947368393603116,0.0,75.0,24,24,10,0.175089635,175.089635,0.13275980949401855,132.75980949401855,42.32982550598144,900.0,0.00019454403888888888
TP1,smpc,0,30,2018-12-01 07:30:00+00:00,32064,30,-4.037738800048828,-20.18869400024414,312.90557464012636,0.07822639366003159,2.8959410932943697,0.0,0.0,0.23397022485733032,0.0,0.9857984185218811,1.0,0.6048558354377747,0.0,0.0,True,True,False,0.0937499998696148,optimal,4050.8904109734654,0.1361980438232422,True,False,0,TP1,0.9891867637634277,1.0002580881118774,0.2918553948402405,0.0,0.0,1.0,1.0,75.0,0.1313541637439476,0.0,75.0,1.0,1.0,75.0,0.13947368393603116,0.0,75.0,1.0,1.0,75.0,0.13947368393603116,0.0,75.0,1.0,1.0,75.0,0.13282607770279825,0.0,75.0,1.0,1.0,74.99999947845919,0.1,0.0,75.0,24,24,10,0.175056615,175.056615,0.1361980438232422,136.1980438232422,38.85857117675781,900.0,0.00019450735
TP1,smpc,0,31,2018-12-01 07:45:00+00:00,32064,31,-0.03980760723352432,-0.1990380361676216,-337.82523556101296,0.0,0.0,0.0,0.0,0.028615117073059082,0.0,0.9976166486740112,1.001752257347107,0.6182058453559875,0.0,0.0,True,True,False,0.06798561442643387,optimal,4292.4208685839685,0.11520266532897949,True,False,0,TP1,0.9911879301071167,1.0004626512527466,0.26174572110176086,0.0,0.0,0.7943055033683777,0.7943055033683777,59.57291111350042,0.1,0.0,59.57291111350043,1.0,1.0,74.99999947845919,0.1,0.0,75.0,1.0,1.0,74.99999947845919,0.1,0.0,75.0,0.8315939903259277,0.8315939903259277,62.369547635316664,0.1,0.0,62.36954763531668,0.0,0.0,0.0,0.1,0.0,0.0,24,24,10,0.15375064,153.75064,0.11520266532897949,115.20266532897949,38.547974671020505,900.0,0.00017083404444444443
TP1,smpc,0,32,2018-12-01 08:00:00+00:00,32064,32,-0.0211926132440567,-0.10596306622028351,-411.6145923228487,0.0,0.0,23.793124684851136,0.005948281171212784,0.025315463542938232,0.0,0.9981686472892761,1.0020167827606201,0.6617805361747742,0.0,0.0,True,True,False,0.0005603917641565203,optimal,4522.391171171369,0.1443026065826416,True,False,0,TP1,1.0,1.0028553009033203,0.499065637588501,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.02988756075501442,-0.02988756075501442,-2.2415670566260815,0.1010647443518974,2.2415670972093427,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,24,24,10,0.183901668,183.901668,0.1443026065826416,144.3026065826416,39.59906141735839,900.0,0.00020433518666666665
TP1,smpc,0,33,2018-12-01 08:15:00+00:00,32064,33,-0.06342651247978211,-0.3171325623989105,-410.04318907198467,0.0,0.0,136.77468736910694,0.034193671842276736,0.03477984666824341,0.0,0.996507465839386,1.0018953084945679,0.6635921597480774,0.0,0.0,True,True,False,0.03670665915124118,optimal,4777.172159328715,0.1431734561920166,True,False,0,TP1,0.9996786117553711,1.0026944875717163,0.4846476912498474,0.0,0.0,-0.9307149648666382,-0.9307149648666382,-69.80362236499786,0.133156720623374,69.80362196895294,0.0,0.026973523199558258,0.026973523199558258,2.0230142399668694,0.10000000001507273,0.0,2.023014268605046,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-1.0,-1.0,-75.0,0.135625,75.0,0.0,24,24,10,0.182183953,182.183953,0.1431734561920166,143.1734561920166,39.01049680798341,900.0,0.00020242661444444445
TP1,smpc,0,34,2018-12-01 08:30:00+00:00,32064,34,-0.07498701512813569,-0.3749350756406784,-405.0888622209641,0.0,0.0,214.31649931909487,0.05357912482977372,0.037239909172058105,0.0,0.9965353608131409,1.0021084547042847,0.663996696472168,0.0,0.0,True,True,False,0.08557825461030007,optimal,5011.432375164963,0.4510834217071533,True,False,0,TP1,0.9992390275001526,1.0024604797363281,0.48327335715293884,0.0,0.0,-1.0,-1.0,-75.0,0.168781720623374,75.0,0.0,-1.0,-1.0,-75.0,0.13562500001507272,75.0,0.0,-1.0,-1.0,-75.0,0.135625,75.0,0.0,-1.0,-1.0,-75.0,0.135625,75.0,0.0,-0.5641735792160034,-0.5641735792160034,-42.313018441200256,0.15572368375957013,42.313019390581154,0.0,24,24,10,0.493324208,493.324208,0.4510834217071533,451.0834217071533,42.240786292846664,900.0,0.0005481380088888889
TP1,smpc,0,35,2018-12-01 08:45:00+00:00,32064,35,-0.13132375180721284,-0.6566187590360641,-421.55964605080953,0.0,0.0,629.4005877998071,0.15735014694995178,0.01852947473526001,0.0,0.998725175857544,1.001607060432434,0.6789824962615967,0.0,0.0,True,True,False,0.07740650922060013,optimal,5203.9918171193785,0.7201216220855713,True,False,0,TP1,0.9996231198310852,1.0045366287231445,0.49782779812812805,0.0,0.0,-1.0,-1.0,-75.0,0.20440672062337398,75.0,0.0,-0.5641735792160034,-0.5641735792160034,-42.313018441200256,0.15572368377464285,42.313019358849104,0.0,-1.0,-1.0,-75.0,0.17124999999999999,75.0,0.0,-0.5641735792160034,-0.5641735792160034,-42.313018441200256,0.15572368375957013,42.313019390581154,0.0,1.0,1.0,75.0,0.11624999954904382,0.0,74.99999914318374,24,24,10,0.764906075,764.906075,0.7201216220855713,720.1216220855713,44.78445291442868,900.0,0.0008498956388888889
TP1,smpc,0,36,2018-12-01 09:00:00+00:00,32064,36,-0.23084698021411895,-1.1542349010705948,-433.52451054124685,0.0,0.0,980.3071835478074,0.24507679588695186,0.04690629243850708,0.0,0.9955167174339294,1.0012855529785156,0.6869608163833618,0.0,0.0,True,True,False,0.051402972732835416,optimal,5329.68735449238,0.6648688316345215,True,False,0,TP1,0.9987819790840149,1.002232551574707,0.5070404410362244,0.0,0.0,-0.7414918541908264,-0.7414918541908264,-55.61188906431198,0.23082236792892216,55.61189010037554,0.0,-1.2235317647935062e-08,-1.2235317647935062e-08,-9.176488235951297e-07,0.15572368421052604,9.176488224264739e-07,0.0,1.0,1.0,75.0,0.13177631578947369,0.0,75.0,-1.2658411208121834e-08,-1.2658411208121834e-08,-9.493808406091375e-07,0.15572368421052604,9.493808663195654e-07,0.0,-1.0,-1.0,-75.0,0.15187499954904382,75.0,0.0,24,24,10,0.707797405,707.797405,0.6648688316345215,664.8688316345215,42.928573365478506,900.0,0.000786441561111111
TP1,smpc,0,37,2018-12-01 09:15:00+00:00,32064,37,-0.2280014932155609,-1.1400074660778046,-439.9431355791421,0.0,0.0,1245.7510678004446,0.31143776695011116,0.021820068359375,0.0,0.9989684224128723,1.0014830827713013,0.695724606513977,0.0,0.0,True,True,False,0.03750000025901588,optimal,5385.136456572693,0.8765261173248291,True,False,0,TP1,1.0,1.0049430131912231,0.5145087838172913,0.0,0.0,-1.3814180022109213e-08,-1.3814180022109213e-08,-1.036063501658191e-06,0.23082236842105233,1.0360635156820608e-06,0.0,0.0,0.0,0.0,0.15572368421052604,0.0,0.0,-1.0,-1.0,-75.0,0.16740131578947368,75.0,0.0,0.0,0.0,0.0,0.15572368421052604,0.0,0.0,1.0,1.0,75.0,0.11240131533851751,0.0,75.0,24,24,10,0.922070037,922.070037,0.8765261173248291,876.5261173248291,45.543919675170905,900.0,0.0010245222633333334
TP1,smpc,0,38,2018-12-01 09:30:00+00:00,32064,38,-0.3011156678199768,-1.505578339099884,-442.1152292043189,0.0,0.0,1387.701258591831,0.3469253146479577,0.055339038372039795,0.0,0.9953492879867554,1.001158595085144,0.6981472373008728,0.0,0.0,True,True,False,0.05625,optimal,5367.004233601601,0.7823190689086914,True,False,0,TP1,0.9983893036842346,1.0025042295455933,0.515859842300415,0.0,0.0,-1.0,-1.0,-75.0,0.2664473684210523,75.0,0.0,0.0,0.0,0.0,0.15572368421052604,0.0,0.0,1.0,1.0,75.0,0.12792763157894738,0.0,75.0,0.0,0.0,0.0,0.15572368421052604,0.0,0.0,-1.0,-1.0,-75.0,0.1480263153385175,75.0,0.0,24,24,10,0.825828014,825.828014,0.7823190689086914,782.3190689086914,43.50894509130865,900.0,0.0009175866822222223
TP1,smpc,0,39,2018-12-01 09:45:00+00:00,32064,39,-0.32542442083358764,-1.6271221041679382,-451.1731804423107,0.0,0.0,1725.0387465651775,0.4312596866412944,0.03259354829788208,0.0,0.99913489818573,1.0022056102752686,0.7067152261734009,0.0,0.0,True,True,False,0.05625,optimal,5309.556189967083,1.0528614521026611,True,False,0,TP1,1.0,1.004944920539856,0.5263515114784241,0.0,0.0,1.0,1.0,75.0,0.226973684210526,0.0,75.0,0.0,0.0,0.0,0.15572368421052604,0.0,0.0,-1.0,-1.0,-75.0,0.16355263157894737,75.0,0.0,0.0,0.0,0.0,0.15572368421052604,0.0,0.0,1.0,1.0,75.0,0.1085526311279912,0.0,75.0,24,24,10,1.095028862,1095.028862,1.0528614521026611,1052.8614521026611,42.1674098973388,900.0,0.0012166987355555555
