Topology,Avg Reward,Energy Cost,Grid Import,Curtailment,Voltage Dev.,Throughput,Worst Min Voltage,Worst Max Voltage,Worst Line Current,Feasible Rate,Converged Rate,,Model
TP4,-810.02 +/- 17.98,596.26 +/- 13.57,15.04 +/- 0.21,5.44 +/- 0.24,0.2510 +/- 0.0016,4.64 +/- 1.34,0.9711 +/- 0.0006,1.0059 +/- 0.0009,1.6404 +/- 0.0413,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP5,-841.45 +/- 14.86,601.11 +/- 10.37,15.18 +/- 0.14,5.49 +/- 0.17,0.3832 +/- 0.0033,4.59 +/- 1.35,0.9490 +/- 0.0007,1.0113 +/- 0.0027,1.5917 +/- 0.0097,0.9982 +/- 0.0013,1.0000 +/- 0.0000,,GCN
TP6,-894.07 +/- 36.46,602.67 +/- 11.74,15.23 +/- 0.19,5.49 +/- 0.21,0.4388 +/- 0.0033,4.55 +/- 1.24,0.9448 +/- 0.0000,1.0097 +/- 0.0017,1.5900 +/- 0.0000,0.9875 +/- 0.0081,1.0000 +/- 0.0000,,GCN
TP7,-824.07 +/- 15.80,599.28 +/- 11.91,15.12 +/- 0.15,5.44 +/- 0.19,0.3321 +/- 0.0016,4.66 +/- 1.45,0.9555 +/- 0.0014,1.0065 +/- 0.0007,1.6604 +/- 0.0321,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP1,-842.58 +/- 17.35,605.47 +/- 12.37,15.22 +/- 0.28,5.54 +/- 0.29,0.3998 +/- 0.0053,3.88 +/- 0.33,0.9508 +/- 0.0013,1.0037 +/- 0.0013,1.6405 +/- 0.0626,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP2,-822.15 +/- 15.78,601.01 +/- 11.61,15.11 +/- 0.26,5.52 +/- 0.28,0.2982 +/- 0.0041,3.83 +/- 0.28,0.9591 +/- 0.0022,1.0057 +/- 0.0038,1.6380 +/- 0.0924,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP3,-836.50 +/- 16.62,604.52 +/- 12.18,15.20 +/- 0.28,5.54 +/- 0.29,0.3765 +/- 0.0049,3.88 +/- 0.32,0.9566 +/- 0.0028,1.0036 +/- 0.0012,1.6633 +/- 0.0921,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP4,-813.60 +/- 15.23,598.92 +/- 11.25,15.06 +/- 0.25,5.51 +/- 0.28,0.2515 +/- 0.0035,3.82 +/- 0.26,0.9692 +/- 0.0016,1.0060 +/- 0.0020,1.6268 +/- 0.0856,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP5,-853.52 +/- 20.25,604.43 +/- 12.39,15.20 +/- 0.29,5.54 +/- 0.28,0.3829 +/- 0.0059,3.84 +/- 0.29,0.9486 +/- 0.0000,1.0090 +/- 0.0044,1.6016 +/- 0.0294,0.9975 +/- 0.0004,1.0000 +/- 0.0000,,MLP
TP6,-920.97 +/- 39.20,606.08 +/- 12.01,15.24 +/- 0.28,5.54 +/- 0.27,0.4391 +/- 0.0063,3.78 +/- 0.29,0.9448 +/- 0.0000,1.0058 +/- 0.0019,1.5900 +/- 0.0000,0.9844 +/- 0.0002,1.0000 +/- 0.0000,,MLP
TP7,-829.32 +/- 16.22,603.10 +/- 11.90,15.16 +/- 0.27,5.53 +/- 0.28,0.3338 +/- 0.0048,3.86 +/- 0.30,0.9542 +/- 0.0027,1.0056 +/- 0.0032,1.6456 +/- 0.0940,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,MLP
TP1,-833.56 +/- 10.08,599.20 +/- 7.08,15.16 +/- 0.22,5.47 +/- 0.25,0.3984 +/- 0.0035,4.70 +/- 0.62,0.9505 +/- 0.0009,1.0035 +/- 0.0007,1.7023 +/- 0.0812,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP2,-815.37 +/- 9.98,595.90 +/- 7.29,15.08 +/- 0.22,5.47 +/- 0.25,0.2974 +/- 0.0028,4.70 +/- 0.61,0.9597 +/- 0.0016,1.0047 +/- 0.0001,1.7178 +/- 0.1164,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP3,-832.33 +/- 9.78,601.32 +/- 7.16,15.22 +/- 0.19,5.53 +/- 0.22,0.3765 +/- 0.0028,4.68 +/- 0.58,0.9553 +/- 0.0034,1.0045 +/- 0.0011,1.7304 +/- 0.1239,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP4,-811.22 +/- 9.86,597.07 +/- 7.27,15.12 +/- 0.20,5.53 +/- 0.24,0.2516 +/- 0.0021,4.70 +/- 0.56,0.9695 +/- 0.0006,1.0044 +/- 0.0004,1.7123 +/- 0.1200,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
TP5,-857.11 +/- 33.85,599.09 +/- 8.31,15.14 +/- 0.23,5.46 +/- 0.24,0.3815 +/- 0.0033,4.54 +/- 0.54,0.9488 +/- 0.0003,1.0133 +/- 0.0030,1.6076 +/- 0.0136,0.9978 +/- 0.0008,1.0000 +/- 0.0000,,TAG
TP6,-900.56 +/- 41.95,597.65 +/- 7.45,15.10 +/- 0.19,5.41 +/- 0.22,0.4365 +/- 0.0032,4.45 +/- 0.61,0.9448 +/- 0.0000,1.0095 +/- 0.0040,1.5900 +/- 0.0000,0.9875 +/- 0.0056,1.0000 +/- 0.0000,,TAG
TP7,-823.22 +/- 10.00,598.55 +/- 7.29,15.14 +/- 0.23,5.49 +/- 0.25,0.3326 +/- 0.0030,4.66 +/- 0.56,0.9545 +/- 0.0021,1.0046 +/- 0.0003,1.7219 +/- 0.1192,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,TAG
