topology_case,policy,episodes,mean_total_reward_mean,std_total_reward_mean,mean_total_reward_team,std_total_reward_team,mean_energy_cost,mean_grid_import_mwh,mean_curtailment_mwh,mean_throughput_mwh,mean_voltage_deviation,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,worst_voltage_violation,worst_line_current_violation,mean_infeasible_requested_count,mean_feasible_rate,mean_converged_rate,model,seed_run,source_folder
TP4,maddpg,31,-821.8691358783989,346.27213824155905,-4109.345679391995,1731.3606912077958,605.1886613450334,15.2224944977623,5.633439398173694,4.652369612854544,0.2520270906989613,0.9707324504852296,1.0028817653656006,1.6847466230392456,0.0,0.0,0.0,1.0,1.0,gat,run_1,gat_ieee33_tp_full_eval_run1_best
TP5,maddpg,31,-861.4018282328119,353.643830220326,-4307.00914116406,1768.21915110163,612.3898118941266,15.43910210914596,5.727092880719251,4.648116671568073,0.3847412561136548,0.9486038684844972,1.0110723972320557,1.6293330192565918,0.0013961364831854,0.0,0.6774193548387096,0.997983870967742,1.0,gat,run_1,gat_ieee33_tp_full_eval_run1_best
TP6,maddpg,31,-920.858734455251,383.708733972933,-4604.293672276255,1918.5436698646647,612.4947965395253,15.435027145590997,5.709742270607594,4.540606675914291,0.4414260360582541,0.9447911977767944,1.0106663703918457,1.5900484323501587,0.0052088175934883,0.0,3.290322580645161,0.9848790322580644,1.0,gat,run_1,gat_ieee33_tp_full_eval_run1_best
TP7,maddpg,31,-837.4174462036034,350.46750478824794,-4187.0872310180175,1752.3375239412394,609.2872229690552,15.329809024558449,5.652709794923665,4.534871056874426,0.3337854745807827,0.9524338841438292,1.0057440996170044,1.697079300880432,0.0,0.0,0.0,1.0,1.0,gat,run_1,gat_ieee33_tp_full_eval_run1_best
TP1,maddpg,31,-841.290954124513,361.9162045651863,-4206.454770622565,1809.5810228259315,601.3077937645438,15.095681738030896,5.417365833195616,4.155317762957667,0.3974416098727654,0.9500032067298888,1.0045822858810425,1.6468955278396606,0.0,0.0,0.3225806451612903,1.0,1.0,gat,run_2,gat_ieee33_tp_full_eval_run2_best
TP2,maddpg,31,-817.2519967806164,355.1294254957565,-4086.2599839030822,1775.6471274787823,597.4971250280229,14.99014600289408,5.395405585392529,4.279770353188118,0.2963080250367683,0.9569401741027832,1.0054259300231934,1.686644434928894,0.0,0.0,0.0,1.0,1.0,gat,run_2,gat_ieee33_tp_full_eval_run2_best
TP3,maddpg,31,-829.3621455052206,360.3463860242565,-4146.810727526104,1801.7319301212824,599.3975902201221,15.036685429645631,5.382343193127608,4.053677372418971,0.3736173052300688,0.955778956413269,1.002968668937683,1.6960622072219849,0.0,0.0,0.0,1.0,1.0,gat,run_2,gat_ieee33_tp_full_eval_run2_best
TP4,maddpg,31,-809.720245392275,352.51207101686373,-4048.6012269613752,1762.5603550843189,596.1671704042678,14.949676605783454,5.391627578052108,4.211230668735544,0.2498387157997136,0.9674729108810424,1.0049159526824951,1.6767244338989258,0.0,0.0,0.0,1.0,1.0,gat,run_2,gat_ieee33_tp_full_eval_run2_best
TP5,maddpg,31,-873.5999953226967,393.5841286036927,-4367.999976613483,1967.9206430184636,602.8883027105471,15.144276896752285,5.472635674343981,3.963368996715286,0.3811514318510089,0.9486038684844972,1.0090779066085815,1.5846452713012695,0.0013961364831854,0.0,1.935483870967742,0.9973118279569892,1.0,gat,run_2,gat_ieee33_tp_full_eval_run2_best
TP6,maddpg,31,-970.3944939928224,488.7277260341421,-4851.972469964112,2443.638630170711,602.5512522453878,15.140361754487278,5.443045153851929,3.8822541191299615,0.4366781448204351,0.9447911977767944,1.0081274509429932,1.5900484323501587,0.0052088175934883,0.0,6.451612903225806,0.981518817204301,1.0,gat,run_2,gat_ieee33_tp_full_eval_run2_best
TP7,maddpg,31,-824.3425753691865,357.4148846735628,-4121.712876845932,1787.074423367813,599.5843386889962,15.044081739496717,5.411825178391995,4.133479779243436,0.3313208216981542,0.9518401026725768,1.0052623748779297,1.6887820959091189,0.0,0.0,0.0,1.0,1.0,gat,run_2,gat_ieee33_tp_full_eval_run2_best
TP1,maddpg,31,-854.2084423677335,354.97638243633486,-4271.042211838668,1774.8819121816746,615.7712365435378,15.377614280456651,5.692007764082685,3.062790880141283,0.4006050397712056,0.9514288306236268,1.0042351484298706,1.6508064270019531,0.0,0.0,0.0,1.0,1.0,gcn,run_0,gcn_ieee33_tp_full_eval_run0_best
TP2,maddpg,31,-837.1250906981649,349.42092388803394,-4185.625453490824,1747.1046194401697,612.3551432175044,15.290622554235824,5.690797521553151,3.0937601924468354,0.2992895414992686,0.9611698985099792,1.005313515663147,1.639992594718933,0.0,0.0,0.0,1.0,1.0,gcn,run_0,gcn_ieee33_tp_full_eval_run0_best
TP3,maddpg,31,-850.9069170076519,353.8371949403587,-4254.53458503826,1769.1859747017938,615.4716043040581,15.36691791221633,5.69349443591627,3.06949630484886,0.3772658908799771,0.9585100412368774,1.0030534267425537,1.6478058099746704,0.0,0.0,0.0,1.0,1.0,gcn,run_0,gcn_ieee33_tp_full_eval_run0_best
TP4,maddpg,31,-830.5190980605345,346.8589554985265,-4152.595490302673,1734.2947774926322,611.7364026099723,15.270531308900262,5.706732025316006,3.090251898264581,0.2527015659036816,0.9706430435180664,1.004947066307068,1.6329290866851809,0.0,0.0,0.0,1.0,1.0,gcn,run_0,gcn_ieee33_tp_full_eval_run0_best
