feeder,topology_case,gnn_architecture,comparison,paired_episodes,mlp_mean_cost,gnn_mean_cost,mean_difference_gnn_minus_mlp,median_difference_gnn_minus_mlp,mean_cost_improvement_percent,gnn_wins,mlp_wins,ties,gnn_win_rate_excluding_ties,wilcoxon_statistic_two_sided,p_value_two_sided,wilcoxon_statistic_gnn_lower,p_value_gnn_lower_one_sided,rank_biserial_gnn_minus_mlp,p_holm_two_sided,p_holm_gnn_lower_one_sided,significant_two_sided_0p05,significant_gnn_lower_0p05
IEEE69,TP1,tagconv,TAGCONV vs MLP,31,1587.3349859932375,1580.691611704865,-6.643374288372787,-6.968791349657977,0.4185237739351933,28,3,0,0.9032258064516129,44.0,1.3524666428565979e-05,44.0,6.7623332142829895e-06,-0.8225806451612904,2.7049332857131958e-05,1.3524666428565979e-05,True,True
IEEE69,TP2,gcn,GCN vs MLP,31,1587.4361845234916,1583.5378342444512,-3.898350279040704,-5.391713250160592,0.24557524371983502,25,6,0,0.8064516129032258,111.0,0.006217258051037788,111.0,0.003108629025518894,-0.5524193548387096,0.006217258051037788,0.003108629025518894,True,True
IEEE69,TP2,gat,GAT vs MLP,31,1587.4361845234916,1574.1728773278865,-13.263307195604948,-14.957001321313555,0.8355175045720974,28,3,0,0.9032258064516129,23.0,5.960464477539062e-07,23.0,2.980232238769531e-07,-0.907258064516129,1.7881393432617188e-06,8.940696716308594e-07,True,True
IEEE69,TP2,tagconv,TAGCONV vs MLP,31,1587.4361845234916,1581.1610238946153,-6.275160628876374,-6.397018927246222,0.39530159952603305,28,3,0,0.9032258064516129,43.0,1.1898577213287354e-05,43.0,5.949288606643677e-06,-0.8266129032258065,2.3797154426574707e-05,1.1898577213287354e-05,True,True
IEEE69,TP3,gcn,GCN vs MLP,31,1587.3330195526703,1582.6843794374006,-4.648640115269934,-6.171277762437171,0.29285852798423756,26,5,0,0.8387096774193549,97.0,0.0023254938423633575,97.0,0.0011627469211816788,-0.6088709677419355,0.0023254938423633575,0.0011627469211816788,True,True
IEEE69,TP3,gat,GAT vs MLP,31,1587.3330195526703,1573.922325863257,-13.4106936894133,-15.693233730712791,0.8448569723064596,28,3,0,0.9032258064516129,26.0,9.955838322639465e-07,26.0,4.977919161319733e-07,-0.8951612903225806,2.9867514967918396e-06,1.4933757483959198e-06,True,True
IEEE69,TP3,tagconv,TAGCONV vs MLP,31,1587.3330195526703,1580.6899044321187,-6.6431151205514976,-6.968764942946336,0.41850796516686,28,3,0,0.9032258064516129,44.0,1.3524666428565979e-05,44.0,6.7623332142829895e-06,-0.8225806451612904,2.7049332857131958e-05,1.3524666428565979e-05,True,True
IEEE69,TP4,gcn,GCN vs MLP,31,1587.4345779359237,1583.5360782873952,-3.8984996485287593,-5.392236759086245,0.24558490174742026,25,6,0,0.8064516129032258,111.0,0.006217258051037788,111.0,0.003108629025518894,-0.5524193548387096,0.006217258051037788,0.003108629025518894,True,True
IEEE69,TP4,gat,GAT vs MLP,31,1587.4345779359237,1574.1713407865914,-13.263237149332264,-14.956894356583689,0.8355139376249427,28,3,0,0.9032258064516129,23.0,5.960464477539062e-07,23.0,2.980232238769531e-07,-0.907258064516129,1.7881393432617188e-06,8.940696716308594e-07,True,True
IEEE69,TP4,tagconv,TAGCONV vs MLP,31,1587.4345779359237,1581.1593299167935,-6.275248019130323,-6.397387037964222,0.39530750472184367,28,3,0,0.9032258064516129,43.0,1.1898577213287354e-05,43.0,5.949288606643677e-06,-0.8266129032258065,2.3797154426574707e-05,1.1898577213287354e-05,True,True
