feeder,architecture,run,topology_case,episode_id,start_index,total_energy_cost,total_reward_mean,total_reward_team,total_grid_import_mwh,total_curtailment_mwh,total_throughput_mwh,mean_voltage_deviation,max_voltage_deviation,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,infeasible_requested_count,feasible_rate,converged_rate,source_folder,source_file
IEEE33,gat,0,TP2,1,32160,296.2545739670915,-413.5660565707833,-2067.8302828539163,8.249815540936824,14.05704025614144,5.469219635200187,0.1543462108820676,0.3343147039413452,0.9787672758102416,1.0037572383880615,1.0319052934646606,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,2,32256,505.7018799706159,-697.6954355835915,-3488.4771779179573,14.004711111449907,7.398679562365741,5.490509164487026,0.2842271445939938,0.5209559202194214,0.9666005969047546,1.0024839639663696,1.5584139823913574,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,3,32352,583.0510876142022,-799.6789336889982,-3998.394668444991,13.831213494199153,9.654118874841402,5.58142422568566,0.2839389443397522,0.5378365516662598,0.964651882648468,1.001967191696167,1.5933690071105957,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,4,32448,765.4463462451298,-1037.3763984903694,-5186.881992451847,16.70328738472804,0.4128908601124749,4.4506683398808535,0.3365384874244531,0.5231233835220337,0.9649856090545654,1.0011794567108154,1.5497668981552124,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,5,32544,1362.0866782391229,-1825.040840530396,-9125.204202651978,24.64590211993273,0.0,3.11433724893765,0.4352017547935247,0.5239263772964478,0.9656882286071776,1.0,1.5602893829345703,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,6,32640,1214.0301360525575,-1632.4294584274292,-8162.147292137146,24.401581660393276,0.0,3.31145304941726,0.4340891577303409,0.535206139087677,0.9654176831245422,1.0,1.591299057006836,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,7,32736,682.9971025352914,-923.443099205196,-4617.21549602598,14.412939435012552,0.0,4.150026612254137,0.2847157698124647,0.4137995839118957,0.9739660024642944,1.0007781982421875,1.2312891483306885,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,8,32832,432.2185918317562,-593.4062404233962,-2967.031202116981,9.788613350007813,10.694032979251787,5.688478002883255,0.1965422866245111,0.3762488961219787,0.974831223487854,1.0035916566848757,1.1115323305130005,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,9,32928,680.7406262629376,-928.3050898954272,-4641.525449477136,14.308982830302512,9.05712928546198,5.7444955087072405,0.3002024417122205,0.5828319191932678,0.9614853262901306,1.0021010637283323,1.703425407409668,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,10,33024,800.6441205920607,-1083.072221058607,-5415.361105293036,15.121549864311632,4.837427057407777,5.899217928258938,0.3132872538020213,0.5736377835273743,0.961913526058197,1.0019891262054443,1.676477313041687,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
