topology_case,policy,episode_id,start_index,total_reward_mean,total_reward_team,total_energy_cost,total_grid_import_mwh,total_curtailment_mwh,total_throughput_mwh,mean_voltage_deviation,max_voltage_deviation,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,infeasible_requested_count,feasible_rate,converged_rate
TP6,maddpg,10,33024,-2394.0741066396236,-11970.370533198118,1177.1095716140742,21.542670367835285,3.0269811217754996,4.264317378178545,0.6559324152767658,1.0820887088775635,0.9287168383598328,1.0013867616653442,2.0548253059387207,0.021283153007335742,0.0,39,0.59375,1.0
TP6,maddpg,11,33120,-2512.0494250297547,-12560.247125148773,1292.2541853471103,25.802313072496304,0.0,2.623196090491635,0.7382293157279491,0.9917069673538208,0.935264527797699,1.0,1.9186168909072876,0.014735493007797307,0.0,37,0.6354166666666666,1.0
TP6,maddpg,12,33216,-1386.2344052821397,-6931.172026410699,810.1197941533253,18.20824193910545,7.181419233568475,4.229065072397688,0.5477816437681516,0.9631434679031372,0.9373443126678467,1.001402735710144,1.8705589771270752,0.012655670333351021,0.0,13,0.8854166666666666,1.0
TP6,maddpg,13,33312,-2794.7814820706844,-13973.907410353422,1104.626711111529,28.211145433464537,0.0,2.076818490517787,0.7915014612178007,1.0265436172485352,0.9325749278068542,1.0,1.9656342267990112,0.01742507012133032,0.0,63,0.3541666666666667,1.0
TP6,maddpg,14,33408,-742.5578858211636,-3712.7894291058183,524.2185771667744,14.503190160605698,11.688967831199609,4.194905942656145,0.4283215223501126,0.7464286684989929,0.950865626335144,1.0018267631530762,1.4217875003814697,0.0,0.0,0,1.0,1.0
TP6,maddpg,15,33504,-678.0675366057083,-3390.3376830285415,482.1079922991836,13.140667198456981,1.3688402497363856,4.162534370423011,0.4034225692351659,0.6850958466529846,0.9551140666007996,1.0022536516189575,1.3171621561050415,0.0,0.0,0,1.0,1.0
TP6,maddpg,16,33600,-1932.755586707592,-9663.77793353796,823.7811083034833,21.501584609923952,2.281463470113672,3.8755859080353554,0.6438589959094921,1.0105177164077759,0.9337654709815979,1.0009742975234985,1.9460701942443848,0.016234506096357126,0.0,39,0.6041666666666666,1.0
TP6,maddpg,17,33696,-2466.993658962846,-12334.968294814229,1058.4923626561267,24.708002762851038,3.259273584079289,3.5435642318106035,0.711932543044289,1.0420399904251099,0.9317867755889893,1.0004905462265015,2.0044116973876953,0.01821324690571713,0.0,50,0.4791666666666667,1.0
TP6,maddpg,18,33792,-3028.7265503883364,-15143.63275194168,1235.7239522724938,30.380846132293243,0.0,1.7142329186471177,0.8195411494622628,0.9929425716400146,0.9352430105209351,1.0,1.9240092039108276,0.014756965510674847,0.0,66,0.3229166666666667,1.0
TP6,maddpg,19,33888,-1552.4562284111976,-7762.281142055988,656.0259744809035,19.788780750590206,7.934129230513948,4.218025558387382,0.5962901941190163,1.0119394063949585,0.9339567422866821,1.0015723705291748,1.9594606161117554,0.01604324919071154,0.0,31,0.6770833333333334,1.0
TP6,maddpg,20,33984,-1437.441040301323,-7187.205201506615,613.4385392957593,20.002082913790673,6.7252178721038645,4.312771653885242,0.6054034872601429,1.0371676683425903,0.9322037100791931,1.0014984607696533,2.000641107559204,0.017796274579086613,0.0,28,0.7083333333333334,1.0
TP6,maddpg,21,34080,-615.976263281703,-3079.881316408515,427.5985539562743,14.839491788694488,9.93874420293581,4.197388015900493,0.4295148371408383,0.7166011929512024,0.9534891247749329,1.0015521049499512,1.374564290046692,0.0,0.0,0,1.0,1.0
TP6,maddpg,22,34176,-499.53985184542836,-2497.6992592271417,344.7599144504968,11.98095788964838,12.692964107608034,4.256220041813083,0.3448242675513029,0.6992533802986145,0.95423823595047,1.0022767782211304,1.3465765714645386,0.0,0.0,0,1.0,1.0
